global_auroc,brct_auroc,ring_auroc,other_auroc,poison_fraction,trial,target_domain,flip_direction,n_flipped
0.8888224619812438,0.8522591697512925,0.8441109331879664,0.9710511953888724,0.0,3,RING,both,0
0.8937133105596242,0.8560066077273699,0.8756004906136079,0.9549467173482187,0.0,4,RING,both,0
0.8798733504961702,0.8406975588118328,0.8371009505638649,0.9637266260065299,0.0,5,RING,both,0
0.8892609370013047,0.8528404050292148,0.8675343259173453,0.9521509340022788,0.0,6,RING,both,0
0.8870926823343239,0.846922894551684,0.8419815338489318,0.9714772651111132,0.0,7,RING,both,0
0.8911095959267479,0.8600981981706385,0.8486848829682124,0.9618787281100696,0.0,8,RING,both,0
0.8860318139901097,0.8530679280491908,0.8461977445402201,0.9573882404756663,0.0,9,RING,both,0
0.8590612930361293,0.8061522989384808,0.8067357159892337,0.9643968480415155,0.5,0,RING,both,397
0.862000109403394,0.8088902230107987,0.8116674048584376,0.9682266882414333,0.5,1,RING,both,397
0.859907661812573,0.8041581265869252,0.8113181833668359,0.9682889231446818,0.5,2,RING,both,397
0.8576442175783688,0.8041562146287743,0.8068549623522197,0.9626207596488037,0.5,3,RING,both,397
0.8550766835954778,0.8036610174676496,0.8015570167967019,0.9611702076730848,0.5,4,RING,both,397
0.860020080260742,0.8113164979044939,0.7981925658410276,0.9665319839529695,0.5,5,RING,both,397
0.8625208523299692,0.8090852427422068,0.8176808285918709,0.9635255593960342,0.5,6,RING,both,397
0.857927632669921,0.8042307809966656,0.8050662669074308,0.9657037810097374,0.5,7,RING,both,397
0.8606644404081005,0.811924500596531,0.8059009914483323,0.9648229177637563,0.5,8,RING,both,397
0.8659468153059656,0.807718192664199,0.8365473067357159,0.9653303715902453,0.5,9,RING,both,397
0.8198914322067224,0.7906883814127077,0.6471670471193487,0.9628744865620481,1.0,0,RING,both,795
0.8173006392345553,0.7837613570314174,0.650914789956049,0.9619696868148176,1.0,1,RING,both,795
0.8181926645455042,0.7893232432928508,0.6410173418282171,0.9615675535938263,1.0,2,RING,both,795
0.8196476435413447,0.7922428033895194,0.6401570644952471,0.9629989563685455,1.0,3,RING,both,795
0.8177490208611597,0.7891358713940468,0.640208170079384,0.961538829792327,1.0,4,RING,both,795
0.820896306687864,0.7891741105570682,0.649858607883888,0.9635303466962841,1.0,5,RING,both,795
0.8206955902248497,0.7880001682523172,0.6585465571871487,0.9609835029633389,1.0,6,RING,both,795
0.8189373829243699,0.7890632169843067,0.6520561480017717,0.9613712742835806,1.0,7,RING,both,795
0.8191570511564239,0.790348052861819,0.6454379748560526,0.9637026895052804,1.0,8,RING,both,795
0.8176042982612183,0.787478203677078,0.6432148819461007,0.9600212556131095,1.0,9,RING,both,795
0.8450615351019066,0.7794326837774174,0.823132090899799,0.9697299005199008,0.5,0,BRCT,lof_to_func,194
0.8455435130463547,0.7823828352045031,0.817076079179585,0.9722384458508468,0.5,1,BRCT,lof_to_func,194
0.8482669684018016,0.7852698920126036,0.8224336479165958,0.9697921354231495,0.5,2,BRCT,lof_to_func,194
